experiment_id	commit	novelty	accuracy	actionability	depth	composite	status	description	timestamp
2026-03-20T06:28:04.982Z	alpha_researcher	baseline	-2.8879	-1.6366	-0.8342	-0.9999	0.9999	0.2330	214	baseline
2026-03-20T06:28:05.106Z	alpha_researcher	mean_reversion	-3.0912	-1.4534	-0.8711	-1.0000	1.0000	0.1610	148	discard
2026-03-20T06:28:05.167Z	alpha_researcher	price_channel	-1.4835	-0.3367	-0.4215	-0.9140	0.9140	0.0240	74	keep
2026-03-20T06:28:05.220Z	alpha_researcher	momentum_crossover	-1.5709	-1.0788	-0.4568	-0.9411	0.9412	0.5160	49	discard
2026-03-20T06:28:05.272Z	alpha_researcher	adaptive_momentum	-3.2931	-2.3094	-0.9024	-1.0000	1.0000	0.4740	203	discard
2026-03-20T06:28:05.325Z	alpha_researcher	price_channel	-2.0154	-0.6195	-0.5950	-0.9887	0.9887	0.0320	138	discard
2026-03-20T06:28:05.377Z	alpha_researcher	adaptive_momentum	-2.4630	-1.6218	-0.7342	-0.9988	0.9988	0.3790	197	discard
2026-03-20T06:28:05.426Z	alpha_researcher	rsi_contrarian	-2.3279	-0.7178	-0.6945	-0.9976	0.9976	0.0610	76	discard
2026-03-20T06:28:05.477Z	alpha_researcher	price_channel	-2.4551	-0.8109	-0.7310	-0.9988	0.9988	0.0400	162	discard
2026-03-20T06:28:05.527Z	alpha_researcher	mean_reversion	-0.4397	-0.0122	-0.2120	-0.1993	0.1998	0.0010	2	keep
2026-03-20T06:28:05.577Z	alpha_researcher	momentum_crossover	-2.2598	-1.6203	-0.6733	-0.9963	0.9963	0.4660	95	discard
2026-03-20T06:32:10.890Z	alpha_researcher	baseline	-0.7663	-0.0521	-0.2505	-0.4883	0.4883	0.0010	6	baseline
2026-03-20T06:32:11.025Z	alpha_researcher	price_channel	-0.9137	-0.2632	-0.2772	-0.5970	0.5988	0.0320	126	discard
2026-03-20T06:32:11.097Z	alpha_researcher	rsi_contrarian	-2.7803	-1.1772	-0.8108	-0.9998	0.9998	0.1060	142	discard
2026-03-20T06:32:11.163Z	alpha_researcher	volatility_breakout	-4.6809	-2.3663	-0.9888	-1.0000	1.0000	0.0950	478	discard
2026-03-20T06:32:15.908Z	alpha_researcher	baseline	-0.4425	-0.0174	-0.2127	-0.2003	0.2003	0.0000	2	baseline
2026-03-20T06:32:16.030Z	alpha_researcher	rsi_contrarian	-1.0875	-0.0804	-0.3142	-0.7368	0.7370	0.0040	12	discard
2026-03-20T06:32:16.114Z	alpha_researcher	momentum_crossover	-1.8764	-1.3025	-0.5487	-0.9780	0.9780	0.4710	71	discard
2026-03-20T06:32:16.179Z	alpha_researcher	momentum_crossover	-1.6627	-1.1645	-0.4824	-0.9548	0.9549	0.4780	59	discard
2026-03-20T06:32:16.243Z	alpha_researcher	adaptive_momentum	-3.1513	-2.1978	-0.8808	-1.0000	1.0000	0.4180	202	discard
2026-03-20T06:32:16.305Z	alpha_researcher	mean_reversion	-2.7223	-1.1823	-0.7984	-0.9997	0.9997	0.1330	116	discard
2026-03-20T06:40:59.525Z	stat_arb_quant	baseline	-3.3357	-2.2730	-0.9091	-1.0000	1.0000	0.4110	215	baseline
2026-03-20T06:40:59.668Z	stat_arb_quant	adaptive_momentum	-3.3365	-2.3179	-0.9115	-1.0000	1.0000	0.4630	243	discard
2026-03-20T06:40:59.746Z	stat_arb_quant	momentum_crossover	-1.9782	-1.4161	-0.5912	-0.9878	0.9878	0.4760	73	keep
2026-03-20T06:40:59.820Z	stat_arb_quant	price_channel	-2.3508	-0.6596	-0.7007	-0.9976	0.9976	0.0290	122	discard
2026-03-20T06:40:59.894Z	stat_arb_quant	volatility_breakout	-2.0826	-0.4143	-0.6197	-0.9925	0.9926	0.0150	72	discard
2026-03-20T06:40:59.968Z	stat_arb_quant	adaptive_momentum	-2.8559	-1.9597	-0.8335	-0.9999	0.9999	0.4320	175	discard
2026-03-20T06:47:15.970Z	stat_arb_quant	baseline	-1.9782	-1.4161	-0.5912	-0.9878	0.9878	0.4760	73	baseline
2026-03-20T06:47:16.106Z	stat_arb_quant	price_channel	-2.2667	-0.6071	-0.6762	-0.9963	0.9963	0.0280	110	discard
2026-03-20T06:47:16.181Z	stat_arb_quant	price_channel	-2.7478	-0.8659	-0.8039	-0.9997	0.9997	0.0370	158	discard
2026-03-20T06:47:16.256Z	stat_arb_quant	adaptive_momentum	-3.1021	-2.1859	-0.8784	-1.0000	1.0000	0.4670	199	discard
2026-03-20T06:47:16.330Z	stat_arb_quant	momentum_crossover	-1.6639	-1.1812	-0.4940	-0.9606	0.9607	0.4900	59	keep
2026-03-20T06:47:16.403Z	stat_arb_quant	rsi_contrarian	-2.5847	-0.9477	-0.7654	-0.9994	0.9994	0.0890	108	discard
2026-03-20T06:50:11.575Z	polymarket_btc	baseline	-Infinity	-Infinity	-Infinity	0.0000	0.0000	0.0000	0	baseline
2026-03-20T06:50:11.655Z	polymarket_btc	btc_ma_crossover	-0.0800	-0.0700	-0.8500	-28.6000	33.8000	0.5200	421	keep
2026-03-20T06:50:11.659Z	polymarket_btc	btc_order_flow	-0.0200	-0.0200	-0.4200	-6.4000	15.4000	0.5400	307	keep
2026-03-20T06:50:11.662Z	polymarket_btc	btc_bollinger	0.0700	0.0600	0.8600	2.4000	2.8000	0.5900	39	keep
2026-03-20T06:50:11.663Z	polymarket_btc	btc_rsi	-0.1800	-0.1600	-0.8800	-34.4000	39.0000	0.4600	209	discard
2026-03-20T06:50:11.664Z	polymarket_btc	btc_bollinger	0.1600	0.1400	1.0000	4.2000	4.2000	0.6300	30	keep
2026-03-20T06:50:11.666Z	polymarket_btc	btc_ma_crossover	-0.0200	-0.0200	-0.3500	-7.0000	20.2000	0.5500	430	discard
2026-03-20T06:50:11.668Z	polymarket_btc	btc_vwap_reversion	-0.1700	-0.1500	-0.7000	-17.8000	25.6000	0.4700	115	discard
2026-03-20T06:50:11.669Z	polymarket_btc	btc_order_flow	-0.0100	-0.0100	-0.1600	-0.8000	5.0000	0.5500	116	discard
2026-03-20T06:50:11.671Z	polymarket_btc	btc_ma_crossover	-0.0600	-0.0600	-0.7400	-24.0000	32.6000	0.5200	411	discard
2026-03-20T06:50:11.671Z	polymarket_btc	btc_vwap_reversion	-0.1700	-0.1500	-0.7100	-20.6000	29.0000	0.4700	134	discard
2026-03-20T06:53:34.785Z	ensemble_weighted	SPY	-2.7966	-99.98%	99.98%	161	1266	204.96
2026-03-20T06:53:39.036Z	ensemble_majority	SPY	-2.7966	-99.98%	99.98%	161	1266	204.96
2026-03-20T06:53:40.151Z	ensemble_unanimous	QQQ	-2.9209	-99.99%	99.99%	201	1266	89.45
2026-03-20T07:02:16.057Z	macro_quant	baseline	-3.4715	-2.2361	-0.9239	-1.0000	1.0000	0.3670	215	baseline
2026-03-20T07:02:16.195Z	macro_quant	adaptive_momentum	-3.3973	-2.2553	-0.9163	-1.0000	1.0000	0.4040	223	keep
2026-03-20T07:02:16.275Z	macro_quant	price_channel	-3.4223	-1.2522	-0.9168	-1.0000	1.0000	0.0460	204	discard
2026-03-20T07:02:16.347Z	macro_quant	mean_reversion	-2.4319	-1.4699	-0.7191	-0.9982	0.9982	0.2830	145	keep
2026-03-20T07:02:16.421Z	macro_quant	adaptive_momentum	-3.3834	-2.3062	-0.9145	-1.0000	1.0000	0.4080	201	discard
2026-03-20T07:02:16.492Z	macro_quant	volatility_breakout	-4.7712	-2.2651	-0.9906	-1.0000	1.0000	0.0840	417	discard
2026-03-20T07:17:16.149Z	vol_quant	baseline	-3.5124	-2.3450	-0.9277	-1.0000	1.0000	0.3760	233	baseline
